Age,Job,Marital,Education,Default,Annual Balance,Loan (Housing loan / Personal loan),Last Contact Duration,# Contacts Currently,# Contacts Previously,Days Since Last Contacted,Outcomes for Previous Marketing Campaign,Predicted Subscription for Current Campaign
39,technician,married,secondary,no,994,--,221,1,1,241,failure,no
47,blue-collar,divorced,secondary,no,1815,H-,105,1,4,253,failure,no
29,admin.,married,secondary,no,503,-P,433,1,2,199,failure,no
27,entrepreneur,single,tertiary,no,81,--,197,1,3,199,failure,no
33,management,single,tertiary,no,1410,H-,8,1,5,254,failure,no
59,blue-collar,married,primary,no,99,H-,43,1,3,261,failure,no
30,blue-collar,single,secondary,no,144,H-,259,1,3,260,failure,no
32,technician,married,secondary,no,3322,H-,588,2,2,175,failure,no
43,management,married,unknown,no,587,H-,11,6,9,231,failure,no
29,services,married,primary,no,549,H-,205,1,2,245,failure,no
31,technician,single,tertiary,no,1109,--,642,1,2,167,failure,yes
42,blue-collar,single,primary,no,1628,H-,119,1,8,195,success,no
34,blue-collar,married,secondary,no,563,-P,384,1,2,2,failure,no
30,blue-collar,single,primary,no,105,H-,131,1,1,265,failure,no
32,admin.,single,secondary,no,642,H-,52,1,2,253,failure,no
30,management,single,secondary,no,293,H-,232,1,2,253,failure,no
54,entrepreneur,married,tertiary,no,1544,-P,85,7,3,196,failure,no
26,entrepreneur,single,secondary,no,101,H-,810,1,1,268,failure,yes
41,technician,married,secondary,no,-378,H-,361,1,2,253,failure,no
33,technician,single,unknown,no,10600,--,202,1,2,267,failure,no
35,management,married,tertiary,no,1557,HP,225,1,1,268,failure,no
42,management,married,primary,no,-417,H-,81,3,3,273,failure,no
39,self-employed,single,tertiary,no,917,H-,161,2,1,258,failure,no
26,self-employed,single,secondary,no,1242,H-,205,2,2,253,success,no
28,services,single,secondary,no,1820,H-,134,2,1,203,success,no
47,blue-collar,divorced,primary,no,1927,H-,130,4,3,275,failure,no
34,technician,divorced,tertiary,no,66,-P,102,1,2,170,failure,no
40,services,married,secondary,no,-212,HP,71,1,1,258,failure,no
33,services,single,secondary,no,406,H-,61,1,1,275,failure,no
57,management,divorced,tertiary,no,442,--,41,1,3,253,failure,no
54,housemaid,divorced,primary,no,2253,H-,266,1,1,196,failure,no
32,admin.,married,secondary,no,1661,H-,76,1,2,209,failure,no
32,services,married,secondary,no,182,--,277,1,2,169,failure,no
31,blue-collar,single,secondary,no,573,H-,58,1,2,269,failure,no
29,blue-collar,single,primary,no,365,HP,72,1,2,274,failure,no
40,admin.,married,secondary,no,367,H-,89,1,1,274,failure,no
58,technician,married,unknown,no,1617,H-,109,4,2,274,failure,no
55,blue-collar,married,secondary,no,1765,H-,445,1,1,267,failure,no
42,technician,married,secondary,no,315,H-,208,1,2,275,failure,no
34,management,divorced,tertiary,no,0,--,108,4,3,175,failure,no
45,technician,married,secondary,no,858,--,617,4,2,251,failure,no
30,unemployed,single,secondary,no,79,-P,528,2,1,196,failure,no
32,admin.,divorced,secondary,no,2294,H-,342,2,2,260,failure,no
58,technician,married,secondary,no,0,H-,1823,1,1,205,failure,no
40,blue-collar,married,primary,no,665,H-,177,3,1,211,success,no
27,technician,single,secondary,no,126,HP,147,2,4,216,failure,no
48,blue-collar,married,secondary,no,426,HP,153,2,2,177,failure,no
42,housemaid,married,primary,no,4279,H-,97,1,1,198,failure,no
46,technician,married,tertiary,no,157,--,120,2,1,224,failure,no
37,blue-collar,married,primary,no,95,H-,415,2,2,272,failure,no
44,management,married,tertiary,no,1451,H-,80,7,15,80,failure,no
33,management,married,tertiary,no,377,H-,213,2,1,276,failure,no
31,services,single,unknown,no,347,H-,254,3,1,260,failure,no
37,blue-collar,married,primary,no,655,H-,127,2,4,258,failure,no
37,management,married,tertiary,no,21,H-,89,2,2,252,failure,no
40,unemployed,married,tertiary,no,2135,H-,171,5,1,230,failure,no
43,admin.,single,secondary,no,1022,H-,163,3,2,276,failure,no
43,admin.,single,secondary,no,375,-P,193,2,4,199,failure,no
33,blue-collar,single,secondary,no,123,H-,273,3,4,212,failure,no
37,blue-collar,single,secondary,no,111,H-,60,2,2,272,failure,no
32,blue-collar,divorced,primary,no,158,H-,728,4,1,253,failure,no
38,admin.,divorced,secondary,no,19,H-,1130,3,2,251,success,yes
33,blue-collar,single,secondary,no,687,H-,178,2,1,273,failure,no
30,management,single,tertiary,no,640,--,124,4,2,213,failure,no
29,blue-collar,married,secondary,no,247,-P,204,2,1,214,failure,no
52,management,married,secondary,no,4873,--,381,6,9,213,failure,no
30,unemployed,single,tertiary,no,306,--,90,6,14,256,failure,no
35,admin.,divorced,secondary,no,627,H-,298,6,2,275,failure,no
49,self-employed,married,tertiary,no,503,H-,310,4,1,200,failure,no
31,management,single,tertiary,no,12857,H-,158,1,1,92,success,yes
44,technician,married,secondary,no,310,H-,200,1,1,253,failure,no
43,management,married,tertiary,no,479,H-,168,1,2,254,failure,no
31,services,married,secondary,no,1801,H-,136,1,2,274,failure,no
41,management,married,tertiary,no,326,--,163,1,2,182,failure,no
31,admin.,single,tertiary,no,383,-P,119,1,1,214,failure,no
38,blue-collar,married,secondary,no,121,HP,168,1,2,212,failure,no
40,management,married,secondary,no,6695,H-,297,1,1,252,failure,no
35,blue-collar,single,unknown,no,871,H-,117,1,3,245,failure,no
37,technician,married,secondary,no,-254,HP,121,3,2,254,failure,no
58,services,married,primary,no,443,--,41,2,1,204,failure,no
60,admin.,divorced,secondary,no,-41,HP,1658,1,1,262,failure,yes
37,unemployed,divorced,secondary,no,74,H-,120,1,1,275,failure,no
28,blue-collar,single,secondary,no,517,-P,91,3,1,213,success,no
60,technician,married,secondary,no,1139,--,67,2,2,207,failure,no
41,blue-collar,married,primary,no,0,H-,620,4,4,200,success,no
36,services,single,secondary,no,417,H-,15,10,3,207,failure,no
46,technician,married,primary,no,718,H-,80,2,1,268,failure,no
40,blue-collar,married,unknown,no,638,HP,68,3,2,254,failure,no
57,admin.,divorced,secondary,yes,-435,HP,89,5,2,273,failure,no
34,technician,single,secondary,no,347,H-,154,2,6,197,failure,no
45,blue-collar,married,secondary,no,776,H-,232,4,1,253,failure,no
47,self-employed,married,tertiary,no,-80,H-,150,3,2,270,failure,no
54,retired,single,secondary,no,515,H-,115,2,1,234,failure,no
35,admin.,divorced,secondary,no,183,-P,12,7,1,217,failure,no
47,self-employed,married,tertiary,no,917,--,518,3,5,212,failure,no
38,management,married,tertiary,no,569,H-,105,2,1,252,failure,no
49,retired,divorced,secondary,no,-268,H-,42,2,5,206,failure,no
35,management,single,secondary,no,6809,H-,139,8,7,273,failure,no
27,self-employed,divorced,secondary,no,165,H-,1160,2,4,192,failure,no
42,technician,married,secondary,no,769,--,187,2,1,246,failure,no
33,blue-collar,single,tertiary,no,350,H-,148,7,5,227,failure,no
55,technician,married,secondary,no,517,HP,47,3,4,263,failure,no
58,services,married,secondary,no,-37,-P,150,2,6,205,failure,no
33,technician,single,secondary,no,10,H-,71,2,1,274,failure,no
32,housemaid,married,primary,no,-184,H-,129,2,1,197,failure,no
46,entrepreneur,married,secondary,no,122,--,1047,2,7,1,failure,no
33,management,married,tertiary,no,17946,H-,195,5,1,259,failure,no
40,blue-collar,married,primary,no,451,H-,356,3,1,262,failure,no
37,blue-collar,married,secondary,no,688,H-,158,2,2,279,failure,no
50,blue-collar,married,primary,no,859,HP,56,5,7,196,failure,no
49,blue-collar,married,primary,no,474,HP,152,3,1,221,failure,no
33,admin.,married,secondary,no,347,H-,7,7,13,193,failure,no
30,blue-collar,married,primary,no,243,-P,133,2,2,213,failure,no
56,technician,divorced,secondary,no,0,H-,139,5,4,265,failure,no
43,blue-collar,married,secondary,no,130,H-,146,3,1,256,failure,no
27,blue-collar,single,secondary,no,539,H-,268,5,2,252,failure,no
33,technician,married,secondary,no,0,H-,176,2,2,262,failure,no
30,management,single,tertiary,no,3773,H-,75,4,1,258,failure,no
32,self-employed,single,secondary,no,360,H-,175,3,4,259,failure,no
33,blue-collar,single,tertiary,no,700,--,126,1,1,88,success,yes
36,self-employed,married,secondary,no,1245,H-,8,7,9,248,success,no
39,blue-collar,married,secondary,no,20,H-,686,5,1,279,failure,no
46,services,married,secondary,no,561,H-,84,4,7,256,failure,no
48,technician,married,tertiary,no,150,H-,168,2,7,203,failure,no
54,blue-collar,married,secondary,no,2047,--,150,7,6,194,failure,no
35,blue-collar,married,secondary,no,-100,H-,13,7,9,272,failure,no
58,blue-collar,married,primary,no,42,H-,96,6,3,264,failure,no
48,blue-collar,married,primary,no,683,H-,144,5,12,209,failure,no
46,services,married,secondary,no,692,H-,388,3,2,257,failure,no
54,management,married,secondary,no,2895,H-,20,2,1,256,failure,no
28,management,single,tertiary,no,385,-P,79,4,7,193,failure,no
37,unemployed,married,secondary,no,356,--,33,2,1,216,failure,no
34,admin.,married,secondary,no,0,H-,97,1,1,85,failure,yes
36,technician,married,tertiary,no,99,HP,86,1,1,85,failure,no
37,services,single,secondary,no,248,H-,77,1,2,279,failure,no
38,management,married,tertiary,no,184,--,64,2,2,188,failure,no
51,technician,married,tertiary,no,1347,HP,160,1,1,243,failure,yes
40,blue-collar,married,secondary,no,5060,--,154,2,1,93,success,yes
39,management,married,secondary,no,363,HP,67,1,1,209,failure,no
31,admin.,single,secondary,no,554,H-,80,1,1,6,failure,no
28,admin.,married,tertiary,no,174,HP,56,1,2,184,failure,no
54,management,divorced,tertiary,no,26306,H-,27,1,3,84,failure,no
31,management,single,secondary,yes,0,--,112,4,2,85,failure,no
37,admin.,married,secondary,no,1314,H-,118,4,3,210,failure,yes
43,management,divorced,tertiary,no,36,--,61,1,1,193,failure,no
45,technician,married,secondary,no,2403,--,147,2,1,84,failure,no
33,management,single,tertiary,no,3552,--,158,2,3,85,failure,yes
54,management,married,tertiary,no,2960,H-,94,9,1,85,failure,no
35,student,single,secondary,no,188,H-,75,3,5,200,failure,yes
51,technician,married,secondary,no,195,H-,105,1,1,92,failure,no
59,management,married,tertiary,no,1831,--,122,1,1,92,failure,no
56,management,divorced,tertiary,no,722,--,134,3,2,94,failure,no
56,services,divorced,secondary,no,935,--,112,1,2,227,failure,no
35,technician,divorced,secondary,no,2823,H-,74,1,1,24,failure,no
27,unknown,single,secondary,no,1187,--,232,1,1,101,failure,yes
49,self-employed,married,tertiary,no,503,H-,118,5,5,21,failure,no
36,admin.,married,secondary,no,725,H-,123,3,8,99,failure,no
36,technician,married,secondary,no,6384,HP,59,1,1,101,failure,no
30,management,single,tertiary,no,5561,H-,195,1,1,100,success,yes
50,management,married,unknown,no,8345,--,194,1,1,261,failure,yes
37,management,married,tertiary,no,708,H-,32,4,3,225,failure,no
38,technician,married,secondary,no,5115,H-,99,1,6,102,success,yes
34,management,married,tertiary,no,1036,H-,78,4,7,103,failure,no
60,retired,married,secondary,no,404,--,308,2,2,196,failure,yes
53,management,married,secondary,no,2693,--,90,1,1,104,failure,yes
31,management,divorced,tertiary,no,883,H-,112,2,1,106,failure,yes
44,management,single,tertiary,no,483,--,207,2,6,199,success,yes
38,management,married,tertiary,no,1101,H-,78,2,1,120,failure,no
29,technician,married,tertiary,no,676,--,93,2,4,224,failure,no
37,unemployed,single,tertiary,no,1316,H-,350,2,3,112,failure,yes
34,management,married,tertiary,no,1674,H-,113,1,7,210,failure,no
56,management,married,secondary,no,1928,--,61,6,4,115,failure,no
48,technician,married,secondary,no,1981,H-,291,3,2,238,success,no
37,services,single,secondary,no,1045,--,406,2,1,41,failure,yes
30,management,married,tertiary,no,8089,H-,232,2,2,294,failure,yes
59,admin.,married,secondary,no,3735,--,203,4,2,121,failure,yes
34,technician,married,secondary,no,390,H-,95,2,2,231,failure,yes
38,admin.,married,tertiary,no,1988,--,164,2,2,130,failure,yes
32,management,single,tertiary,no,1613,--,253,2,5,129,failure,no
34,technician,single,tertiary,no,2658,H-,265,1,2,230,failure,no
32,technician,single,tertiary,no,392,H-,957,2,2,131,failure,no
39,technician,divorced,secondary,no,688,HP,233,2,1,133,failure,no
59,retired,married,secondary,no,1035,HP,126,2,1,239,failure,no
47,blue-collar,married,secondary,no,398,HP,274,1,2,238,failure,no
54,retired,married,secondary,no,1004,H-,479,1,1,307,failure,no
46,self-employed,divorced,tertiary,no,926,H-,463,1,3,133,failure,no
34,blue-collar,married,secondary,no,1924,HP,161,2,1,253,failure,no
45,services,divorced,secondary,no,396,HP,251,4,4,329,failure,no
58,management,divorced,tertiary,no,315,H-,121,2,2,135,failure,no
49,management,divorced,tertiary,no,20727,--,285,3,2,132,failure,no
38,management,single,unknown,no,715,H-,951,1,3,132,failure,no
49,admin.,married,secondary,no,182,H-,303,1,2,331,failure,no
36,technician,married,secondary,no,4613,--,320,1,2,134,failure,no
39,technician,married,secondary,no,508,H-,598,2,5,135,failure,no
48,services,married,secondary,no,0,H-,146,1,1,267,failure,no
38,blue-collar,married,unknown,no,0,H-,477,2,1,267,failure,no
46,self-employed,married,secondary,no,-30,HP,164,1,2,300,failure,no
35,self-employed,married,tertiary,no,560,H-,58,1,1,136,failure,no
58,technician,married,secondary,no,1,--,333,1,2,64,failure,no
35,management,single,tertiary,no,4348,H-,1074,3,8,217,failure,no
32,admin.,married,tertiary,no,233,H-,77,2,4,133,failure,no
30,management,single,tertiary,no,0,H-,293,2,2,314,failure,no
53,blue-collar,married,primary,no,1409,H-,464,1,1,287,failure,no
40,management,married,primary,no,738,HP,399,2,3,258,failure,no
57,management,married,tertiary,no,1631,H-,254,2,3,261,failure,no
37,management,married,tertiary,no,489,H-,246,2,6,133,failure,no
38,technician,married,secondary,no,-421,H-,187,1,5,332,failure,no
54,retired,married,primary,no,136,H-,352,1,2,332,failure,no
56,admin.,married,primary,no,0,H-,353,2,4,227,failure,no
50,management,married,tertiary,no,414,H-,707,1,3,302,failure,yes
24,services,single,secondary,no,496,H-,297,1,2,323,failure,no
35,admin.,married,secondary,no,3187,H-,445,1,3,135,failure,no
31,services,single,secondary,no,695,H-,314,1,1,318,failure,no
34,blue-collar,single,secondary,yes,-60,--,84,1,1,332,failure,no
38,technician,married,secondary,no,275,H-,277,2,1,333,failure,no
56,retired,married,secondary,no,3948,--,484,1,3,135,failure,no
39,management,married,secondary,no,517,H-,240,1,5,136,failure,no
43,unemployed,married,secondary,no,1943,H-,273,2,2,136,failure,no
28,technician,single,tertiary,no,172,HP,100,14,2,60,failure,no
42,entrepreneur,married,tertiary,no,2249,H-,362,2,6,136,failure,no
33,admin.,married,tertiary,no,1636,HP,105,1,1,136,failure,no
55,blue-collar,divorced,secondary,no,1613,H-,296,1,3,270,failure,yes
49,technician,married,tertiary,no,523,H-,203,1,2,31,success,no
48,admin.,married,primary,no,4459,H-,439,2,1,240,failure,no
40,entrepreneur,married,tertiary,no,2644,H-,235,1,3,133,failure,no
44,blue-collar,married,primary,no,612,HP,1091,1,1,135,failure,no
39,technician,single,tertiary,no,54,H-,204,2,12,248,failure,no
41,self-employed,married,secondary,no,3123,H-,1203,2,2,135,failure,yes
50,management,married,tertiary,no,101,H-,43,2,1,326,failure,no
37,management,married,primary,no,3953,H-,610,2,1,138,failure,no
43,management,divorced,tertiary,no,20,--,590,2,2,255,failure,no
40,management,married,tertiary,no,285,H-,322,1,3,265,success,no
54,entrepreneur,divorced,unknown,no,4736,H-,475,6,5,307,failure,yes
34,technician,single,secondary,no,2729,H-,945,1,1,139,success,no
35,blue-collar,married,secondary,no,270,HP,332,2,1,335,failure,no
45,blue-collar,married,secondary,no,-73,H-,551,3,9,313,failure,no
33,technician,single,tertiary,no,127,H-,583,2,17,222,failure,yes
38,technician,single,secondary,no,12926,H-,271,2,1,307,failure,no
32,services,married,secondary,no,393,--,211,2,2,266,failure,no
47,admin.,single,secondary,no,1544,H-,104,1,1,312,failure,no
45,blue-collar,married,secondary,no,146,HP,294,1,15,305,failure,no
44,management,married,secondary,no,8262,H-,150,1,16,257,failure,no
30,technician,single,secondary,no,10152,H-,1108,2,1,270,failure,no
44,blue-collar,married,secondary,no,545,H-,122,3,1,136,failure,no
35,technician,married,secondary,no,5553,H-,371,3,7,136,failure,no
40,blue-collar,married,primary,no,2133,HP,377,3,1,325,failure,no
37,admin.,married,secondary,no,1207,H-,1353,2,2,138,success,yes
37,technician,single,tertiary,no,3943,--,1138,2,1,138,failure,yes
42,blue-collar,married,primary,no,574,H-,357,2,2,327,failure,no
46,admin.,single,secondary,no,757,HP,342,3,3,256,failure,no
33,admin.,single,secondary,no,2554,H-,125,3,15,249,failure,no
41,admin.,divorced,secondary,no,270,H-,143,1,1,336,failure,no
33,services,married,secondary,no,387,H-,327,2,2,138,failure,no
43,blue-collar,married,secondary,no,902,H-,91,1,1,328,failure,no
33,management,married,tertiary,no,663,H-,381,1,4,243,failure,no
36,blue-collar,single,secondary,no,3508,H-,183,1,3,266,failure,no
31,management,married,secondary,no,625,H-,424,1,1,138,failure,no
33,blue-collar,single,secondary,no,706,H-,329,1,1,322,failure,no
53,blue-collar,divorced,secondary,no,1912,HP,210,1,2,253,failure,no
32,blue-collar,married,secondary,no,897,H-,293,3,2,322,failure,no
53,blue-collar,married,primary,no,53,H-,208,1,1,140,failure,no
35,entrepreneur,married,tertiary,no,1859,H-,157,1,2,267,failure,no
31,blue-collar,married,primary,no,1601,--,615,1,3,137,failure,no
37,technician,divorced,tertiary,no,1174,H-,436,1,2,140,failure,no
41,services,married,secondary,no,446,H-,93,3,2,140,failure,no
39,blue-collar,single,primary,no,581,H-,620,1,2,39,success,no
48,services,married,secondary,no,665,H-,271,2,3,230,failure,no
33,blue-collar,married,primary,no,1064,H-,311,1,1,330,failure,no
35,management,single,tertiary,no,714,H-,263,2,22,224,failure,no
43,technician,single,secondary,no,4990,H-,58,1,10,228,failure,no
24,admin.,single,secondary,no,5,--,66,1,1,330,failure,no
49,entrepreneur,divorced,tertiary,no,1342,HP,253,1,1,140,failure,no
36,services,married,secondary,no,1746,H-,15,1,1,316,failure,no
36,admin.,divorced,secondary,no,356,H-,244,3,1,313,failure,no
44,unemployed,married,secondary,no,728,H-,185,1,11,328,failure,no
41,management,married,tertiary,no,5,H-,542,3,3,140,failure,no
40,blue-collar,single,primary,no,446,H-,594,4,1,331,failure,no
38,blue-collar,married,secondary,no,6994,H-,169,1,2,139,failure,no
42,technician,married,secondary,no,233,--,98,1,4,231,failure,no
35,blue-collar,married,secondary,no,2926,H-,182,1,25,292,failure,no
37,admin.,single,secondary,no,810,H-,376,1,1,295,failure,no
35,technician,single,tertiary,no,458,H-,2129,1,3,322,failure,no
55,self-employed,married,secondary,no,12159,H-,179,5,4,139,failure,no
39,admin.,married,secondary,no,217,H-,284,1,4,308,failure,no
48,management,married,secondary,no,4415,H-,1032,3,7,141,failure,yes
34,student,single,tertiary,no,3404,H-,420,1,5,139,failure,no
36,self-employed,married,primary,no,1094,H-,291,1,1,335,failure,no
32,technician,married,secondary,no,303,H-,150,1,4,267,failure,yes
38,technician,married,tertiary,no,3234,--,281,1,2,141,success,no
40,entrepreneur,married,tertiary,no,2310,HP,120,1,1,294,failure,no
50,technician,single,secondary,no,-97,H-,425,1,2,306,failure,no
32,technician,married,secondary,no,1951,H-,518,2,2,261,failure,no
44,admin.,married,secondary,no,1807,HP,229,1,1,313,failure,no
35,management,married,tertiary,no,1725,HP,180,2,7,254,failure,no
35,management,married,tertiary,no,24,H-,169,1,2,231,failure,no
39,services,married,secondary,no,702,H-,303,1,1,300,failure,no
37,technician,married,secondary,no,523,H-,171,2,4,139,failure,no
38,blue-collar,single,secondary,no,2580,H-,1691,2,3,264,failure,yes
37,services,single,secondary,no,248,H-,417,2,3,57,failure,no
58,retired,divorced,tertiary,no,5253,--,162,4,3,295,failure,no
38,blue-collar,married,secondary,no,13849,H-,286,4,5,321,failure,no
32,technician,married,secondary,no,344,H-,68,3,2,140,failure,no
33,blue-collar,married,primary,no,331,H-,435,2,3,314,failure,no
36,blue-collar,married,primary,no,2730,H-,105,1,1,323,failure,no
57,blue-collar,married,secondary,no,1412,H-,89,1,1,330,failure,no
41,services,married,secondary,no,803,H-,592,4,3,316,failure,yes
33,technician,single,secondary,no,719,H-,448,2,6,316,failure,yes
51,blue-collar,divorced,primary,no,155,HP,220,1,1,142,failure,no
42,technician,married,unknown,no,254,H-,241,1,1,336,failure,no
39,technician,married,secondary,no,958,H-,141,5,4,142,failure,no
42,management,married,tertiary,no,1773,--,311,1,1,336,failure,no
32,admin.,married,secondary,no,393,H-,236,1,1,330,failure,no
34,unemployed,married,secondary,no,438,HP,272,1,1,323,failure,no
35,admin.,married,secondary,no,159,H-,259,2,1,262,failure,no
51,blue-collar,married,primary,no,5131,H-,348,1,2,329,failure,no
43,management,married,unknown,no,275,--,109,2,2,339,failure,no
42,entrepreneur,married,secondary,no,0,H-,331,1,4,140,failure,yes
34,technician,married,secondary,no,1012,HP,353,2,1,163,success,no
30,blue-collar,married,secondary,no,177,H-,62,2,3,332,failure,no
40,management,divorced,tertiary,no,1315,H-,466,2,5,141,failure,no
43,blue-collar,married,secondary,no,664,H-,290,2,1,301,failure,no
55,self-employed,married,secondary,no,2408,--,327,2,1,140,failure,no
31,services,single,secondary,no,900,H-,221,2,6,140,failure,no
41,blue-collar,married,primary,no,3658,H-,268,1,1,330,failure,no
40,blue-collar,married,secondary,no,1554,H-,385,2,1,331,failure,no
34,entrepreneur,married,secondary,no,1847,H-,543,3,6,321,failure,no
38,admin.,single,tertiary,no,-898,H-,345,2,1,323,failure,no
34,services,married,secondary,no,404,H-,208,12,1,337,failure,no
34,admin.,married,tertiary,no,899,H-,627,2,7,141,failure,no
35,entrepreneur,married,tertiary,no,7962,H-,275,2,2,140,failure,no
36,technician,married,secondary,no,569,H-,265,1,5,323,failure,no
39,technician,married,tertiary,no,1161,H-,236,1,1,336,failure,no
42,entrepreneur,married,tertiary,no,1068,H-,444,1,8,300,failure,no
45,blue-collar,married,secondary,no,96,H-,348,3,2,256,failure,yes
34,admin.,married,secondary,no,1499,H-,186,1,2,327,failure,no
52,blue-collar,married,secondary,no,8180,H-,81,1,1,144,failure,no
45,admin.,single,secondary,no,946,H-,754,3,6,143,failure,no
60,management,married,primary,no,252,HP,123,2,3,147,failure,no
49,blue-collar,single,secondary,no,8982,H-,470,2,1,334,failure,no
31,management,married,tertiary,no,357,H-,201,2,5,228,failure,no
38,admin.,divorced,secondary,no,3834,H-,363,2,1,327,failure,no
43,blue-collar,married,primary,no,1288,H-,136,1,1,334,failure,no
38,blue-collar,married,secondary,no,1663,H-,217,3,1,327,failure,no
42,blue-collar,married,primary,no,7735,H-,166,1,2,144,failure,no
41,technician,married,tertiary,no,816,HP,520,2,1,319,failure,no
34,management,married,tertiary,no,1116,H-,120,1,5,262,failure,no
43,blue-collar,divorced,primary,no,515,H-,199,2,1,146,failure,no
37,blue-collar,married,unknown,no,897,H-,119,2,2,280,failure,no
33,management,single,tertiary,no,215,H-,1058,1,1,17,failure,no
35,blue-collar,married,secondary,no,120,H-,269,3,1,328,failure,no
44,services,married,secondary,no,1450,H-,356,1,2,314,failure,no
41,management,married,tertiary,no,-456,--,427,4,1,144,failure,no
45,technician,single,primary,no,237,H-,110,1,1,263,failure,no
33,management,married,tertiary,no,0,H-,535,3,1,328,failure,yes
25,student,single,secondary,no,1765,H-,111,3,2,326,failure,no
31,blue-collar,single,secondary,no,609,H-,1126,1,1,335,failure,no
33,admin.,single,secondary,no,572,H-,344,1,2,74,failure,yes
37,technician,married,secondary,no,474,H-,85,1,1,322,failure,no
54,admin.,married,secondary,no,3136,H-,104,1,1,146,failure,no
44,admin.,divorced,secondary,no,0,--,1594,1,1,148,failure,yes
38,admin.,married,secondary,no,766,H-,461,2,1,335,failure,no
27,self-employed,married,tertiary,no,10005,H-,163,3,2,271,failure,no
34,blue-collar,single,secondary,no,47,H-,232,1,2,147,failure,no
43,blue-collar,married,primary,no,2273,H-,424,2,3,147,failure,no
32,management,single,tertiary,no,574,H-,259,2,3,145,failure,no
36,blue-collar,married,secondary,no,325,--,119,2,2,337,failure,no
57,services,divorced,unknown,no,1877,H-,225,4,1,319,failure,no
52,services,married,secondary,no,2904,H-,201,6,3,272,failure,no
52,management,married,tertiary,no,1944,H-,238,3,2,323,failure,no
35,admin.,married,secondary,no,5250,H-,343,2,1,146,failure,no
43,services,married,primary,no,2557,H-,165,2,3,327,failure,yes
32,services,married,secondary,no,1129,H-,903,2,2,341,failure,yes
40,services,divorced,secondary,no,1062,H-,389,2,4,299,failure,no
33,management,single,tertiary,no,1271,H-,636,3,1,330,failure,yes
46,management,married,secondary,no,4105,H-,115,3,2,258,failure,no
32,technician,single,secondary,no,674,HP,169,1,3,316,failure,no
53,self-employed,divorced,secondary,no,8112,HP,75,1,1,146,failure,no
32,technician,married,secondary,no,-292,HP,301,1,1,316,failure,no
31,blue-collar,married,secondary,no,1131,HP,126,1,6,148,failure,no
36,management,married,secondary,no,1160,H-,56,1,3,323,failure,no
50,self-employed,married,tertiary,no,202,H-,107,1,4,148,failure,no
41,blue-collar,married,secondary,no,217,H-,375,2,1,344,failure,no
29,management,married,tertiary,no,5698,--,437,1,1,264,failure,no
38,technician,single,secondary,no,8381,--,82,1,1,145,failure,no
54,blue-collar,divorced,primary,no,2656,H-,1187,2,2,320,success,no
32,management,single,tertiary,no,3981,H-,362,1,1,271,failure,no
42,admin.,divorced,secondary,no,2397,H-,239,2,2,320,failure,no
50,services,married,secondary,no,254,H-,397,2,1,337,failure,no
44,blue-collar,married,primary,no,4581,H-,520,3,2,146,failure,no
38,management,single,tertiary,no,6158,H-,139,5,9,145,failure,yes
37,blue-collar,single,tertiary,no,3649,H-,623,2,4,146,failure,no
34,technician,single,secondary,no,2660,H-,158,2,1,329,failure,no
34,technician,single,tertiary,no,1393,H-,540,3,3,271,success,no
37,management,single,tertiary,no,876,H-,140,4,2,327,failure,no
33,services,married,secondary,no,1397,H-,370,1,3,146,failure,no
39,technician,married,secondary,no,0,H-,137,1,1,300,failure,no
36,blue-collar,married,primary,no,453,H-,176,1,2,330,failure,no
32,self-employed,single,secondary,no,202,H-,827,1,1,149,failure,no
29,blue-collar,single,secondary,no,1232,H-,258,1,2,316,failure,no
33,housemaid,single,tertiary,no,23663,H-,199,2,2,146,failure,no
35,management,single,tertiary,no,1350,H-,185,1,1,330,failure,no
43,blue-collar,single,secondary,no,1306,H-,243,1,1,336,failure,no
32,technician,single,secondary,no,309,HP,346,1,3,234,failure,no
41,admin.,married,secondary,no,1597,H-,461,2,1,321,failure,no
57,blue-collar,divorced,primary,no,5041,H-,284,1,1,336,failure,no
34,technician,single,secondary,no,486,H-,204,1,2,328,failure,no
42,blue-collar,married,unknown,no,665,H-,291,1,3,332,failure,no
39,blue-collar,married,primary,no,467,H-,232,1,1,335,failure,no
39,management,married,tertiary,no,63,H-,479,1,1,330,failure,no
33,management,single,secondary,no,-665,HP,324,1,1,342,failure,no
31,technician,single,tertiary,no,2530,H-,60,1,1,342,failure,no
37,services,married,secondary,no,345,HP,114,1,1,148,failure,no
36,blue-collar,divorced,secondary,no,3102,H-,188,1,1,147,failure,no
58,blue-collar,married,secondary,no,8195,H-,104,1,2,332,failure,no
33,blue-collar,married,primary,no,359,HP,130,1,1,148,failure,no
52,entrepreneur,single,tertiary,no,3469,H-,583,1,1,147,success,yes
50,blue-collar,married,secondary,no,825,H-,18,3,1,273,failure,no
30,management,single,tertiary,no,726,H-,39,1,3,342,failure,no
31,blue-collar,married,secondary,no,1981,H-,198,1,2,268,failure,no
38,services,divorced,secondary,no,904,H-,361,1,1,339,failure,no
24,blue-collar,single,secondary,no,525,H-,253,1,1,332,failure,no
37,technician,divorced,tertiary,no,1762,H-,309,1,1,317,failure,no
39,services,divorced,secondary,no,1957,HP,350,1,1,147,failure,no
43,blue-collar,married,unknown,no,1123,H-,191,2,3,322,failure,no
35,technician,married,secondary,no,545,H-,1579,1,4,234,failure,yes
