Age Group,Type of Job,Marital Status,Education Level,Credit in Default,Annual Balance (Euros),Loan (Housing / Personal),Last Contact Duration (sec),Contacts Performed (current),Contacts Performed (previous),Month Since Last Contacted,Previous Outcomes,Predicted Subscription (current)
36 - 45,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,4 - 6,11 - 20,12 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,services,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,services,single,secondary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
26 - 35,self-employed,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,admin.,single,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,divorced,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,7 - 9,11 - 20,12 months,failure,no
46 - 55,management,married,tertiary,no,Negative Balances,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,management,married,secondary,no,Negative Balances,--,1 - 2 hours,4 - 6,11 - 20,12 months,success,no
36 - 45,admin.,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,single,secondary,no,Negative Balances,H-,0 - 1 hours,7 - 9,1 - 10,12 months,failure,no
26 - 35,services,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,divorced,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,married,secondary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,services,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,technician,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,blue-collar,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,admin.,married,secondary,no,0 - 10k,-P,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,entrepreneur,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,married,unknown,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
26 - 35,services,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,single,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,failure,yes
36 - 45,blue-collar,single,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,success,no
26 - 35,blue-collar,married,secondary,no,0 - 10k,-P,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,single,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,admin.,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,entrepreneur,married,tertiary,no,0 - 10k,-P,0 - 1 hours,7 - 9,1 - 10,12 months,failure,no
26 - 35,entrepreneur,single,secondary,no,0 - 10k,H-,2 - 3 hours,1 - 3,1 - 10,12 months,failure,yes
36 - 45,technician,married,secondary,no,Negative Balances,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,single,unknown,no,10k - 20k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,married,primary,no,Negative Balances,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,self-employed,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,self-employed,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,success,no
26 - 35,services,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,success,no
46 - 55,blue-collar,divorced,primary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
26 - 35,technician,divorced,tertiary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,services,married,secondary,no,Negative Balances,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,services,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,management,divorced,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,housemaid,divorced,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,admin.,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,services,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,single,primary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,admin.,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,technician,married,unknown,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
46 - 55,blue-collar,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,divorced,tertiary,no,Negative Balances,--,0 - 1 hours,4 - 6,1 - 10,6 months,failure,no
36 - 45,technician,married,secondary,no,0 - 10k,--,1 - 2 hours,4 - 6,1 - 10,12 months,failure,no
26 - 35,unemployed,single,secondary,no,0 - 10k,-P,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,admin.,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,technician,married,secondary,no,Negative Balances,H-,5 - 6 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,success,no
26 - 35,technician,single,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,blue-collar,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,housemaid,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,technician,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,primary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,7 - 9,11 - 20,6 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,services,single,unknown,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,unemployed,married,tertiary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
36 - 45,admin.,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,admin.,single,secondary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,divorced,primary,no,0 - 10k,H-,2 - 3 hours,4 - 6,1 - 10,12 months,failure,no
36 - 45,admin.,divorced,secondary,no,0 - 10k,H-,3 - 4 hours,1 - 3,1 - 10,12 months,success,yes
26 - 35,blue-collar,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,--,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
26 - 35,blue-collar,married,secondary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,management,married,secondary,no,0 - 10k,--,1 - 2 hours,4 - 6,1 - 10,12 months,failure,no
26 - 35,unemployed,single,tertiary,no,0 - 10k,--,0 - 1 hours,4 - 6,11 - 20,12 months,failure,no
26 - 35,admin.,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
46 - 55,self-employed,married,tertiary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
26 - 35,management,single,tertiary,no,10k - 20k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
36 - 45,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,services,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,admin.,single,tertiary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,single,unknown,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,technician,married,secondary,no,Negative Balances,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,services,married,primary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,admin.,divorced,secondary,no,Negative Balances,HP,4 - 5 hours,1 - 3,1 - 10,12 months,failure,yes
36 - 45,unemployed,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,single,secondary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,12 months,success,no
56 - 65,technician,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,primary,no,Negative Balances,H-,1 - 2 hours,4 - 6,1 - 10,12 months,success,no
36 - 45,services,single,secondary,no,0 - 10k,H-,0 - 1 hours,10 - 12,1 - 10,12 months,failure,no
46 - 55,technician,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,unknown,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,admin.,divorced,secondary,yes,Negative Balances,HP,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
26 - 35,technician,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
46 - 55,self-employed,married,tertiary,no,Negative Balances,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,retired,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,admin.,divorced,secondary,no,0 - 10k,-P,0 - 1 hours,7 - 9,1 - 10,12 months,failure,no
46 - 55,self-employed,married,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,retired,divorced,secondary,no,Negative Balances,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,single,secondary,no,0 - 10k,H-,0 - 1 hours,7 - 9,1 - 10,12 months,failure,no
26 - 35,self-employed,divorced,secondary,no,0 - 10k,H-,3 - 4 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,technician,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,single,tertiary,no,0 - 10k,H-,0 - 1 hours,7 - 9,1 - 10,12 months,failure,no
46 - 55,technician,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,services,married,secondary,no,Negative Balances,-P,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,housemaid,married,primary,no,Negative Balances,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,entrepreneur,married,secondary,no,0 - 10k,--,2 - 3 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,married,tertiary,no,10k - 20k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,blue-collar,married,primary,no,0 - 10k,HP,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
46 - 55,blue-collar,married,primary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,admin.,married,secondary,no,0 - 10k,H-,0 - 1 hours,7 - 9,11 - 20,12 months,failure,no
26 - 35,blue-collar,married,primary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,technician,divorced,secondary,no,Negative Balances,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,single,secondary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
26 - 35,technician,married,secondary,no,Negative Balances,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
26 - 35,self-employed,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
36 - 45,self-employed,married,secondary,no,0 - 10k,H-,0 - 1 hours,7 - 9,1 - 10,12 months,success,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,H-,1 - 2 hours,4 - 6,1 - 10,12 months,failure,no
46 - 55,services,married,secondary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
46 - 55,technician,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,blue-collar,married,secondary,no,0 - 10k,--,0 - 1 hours,7 - 9,1 - 10,12 months,failure,no
26 - 35,blue-collar,married,secondary,no,Negative Balances,H-,0 - 1 hours,7 - 9,1 - 10,12 months,failure,no
56 - 65,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
46 - 55,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,4 - 6,11 - 20,12 months,failure,no
46 - 55,services,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,management,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,-P,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
36 - 45,unemployed,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,admin.,married,secondary,no,Negative Balances,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
36 - 45,technician,married,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,services,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,technician,married,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
36 - 45,blue-collar,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
36 - 45,management,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,admin.,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,admin.,married,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,management,divorced,tertiary,no,20k - 30k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,single,secondary,yes,Negative Balances,--,0 - 1 hours,4 - 6,1 - 10,6 months,failure,no
36 - 45,admin.,married,secondary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,yes
36 - 45,management,divorced,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,technician,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
46 - 55,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,7 - 9,1 - 10,6 months,failure,no
26 - 35,student,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
46 - 55,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,management,divorced,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,services,divorced,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,unknown,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
46 - 55,self-employed,married,tertiary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,6 months,failure,no
36 - 45,admin.,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
46 - 55,management,married,unknown,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
36 - 45,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
36 - 45,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
26 - 35,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,6 months,failure,no
56 - 65,retired,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
46 - 55,management,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
26 - 35,management,divorced,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
36 - 45,management,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
36 - 45,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,technician,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,unemployed,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
26 - 35,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,management,married,secondary,no,0 - 10k,--,0 - 1 hours,4 - 6,1 - 10,6 months,failure,no
46 - 55,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,success,no
36 - 45,services,single,secondary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,failure,yes
26 - 35,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
56 - 65,admin.,married,secondary,no,0 - 10k,--,0 - 1 hours,4 - 6,1 - 10,6 months,failure,yes
26 - 35,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
36 - 45,admin.,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
26 - 35,management,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,technician,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,single,tertiary,no,0 - 10k,H-,2 - 3 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,divorced,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,retired,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,blue-collar,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,retired,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,self-employed,divorced,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,services,divorced,secondary,no,0 - 10k,HP,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
56 - 65,management,divorced,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,management,divorced,tertiary,no,20k - 30k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,single,unknown,no,0 - 10k,H-,2 - 3 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,admin.,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,technician,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,services,married,secondary,no,Negative Balances,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,unknown,no,Negative Balances,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,self-employed,married,secondary,no,Negative Balances,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,self-employed,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,technician,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,H-,2 - 3 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,admin.,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,single,tertiary,no,Negative Balances,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,blue-collar,married,primary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,married,primary,no,0 - 10k,HP,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,married,secondary,no,Negative Balances,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,retired,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,admin.,married,primary,no,Negative Balances,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,management,married,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,yes
16 - 25,services,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,admin.,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,services,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,single,secondary,yes,Negative Balances,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,retired,married,secondary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,unemployed,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,technician,single,tertiary,no,0 - 10k,HP,0 - 1 hours,13 - 15,1 - 10,6 months,failure,no
36 - 45,entrepreneur,married,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
